"country_region","first_case","shutdown_date"
"Denmark","2020-02-27","2020-03-13"
"Sweden","2020-01-31","2020-03-11"
"Singapore","2020-01-23","2020-04-03"
"South Korea","2020-01-20","2020-02-25"
"Italy","2020-01-31","2020-03-08"
"United Kingdom","2020-01-29","2020-03-18"
"Canada","2020-01-25","2020-03-16"
"United States","2020-01-20","2020-04-02"
"Spain","2020-01-31","2020-03-13"
"France","2020-01-24","2020-03-16"
"Japan","2020-01-16","2020-02-27"
"Norway","2020-02-26","2020-03-16"
"Austria","2020-02-25","2020-03-16"
"Australia","2020-01-25","2020-03-21"
"Iceland","2020-02-28","2020-03-13"
"New Zealand","2020-02-28","2020-03-21"
